Frase,Sentimento
você tá linda,Positivo
ela é igualzinha,Neutro
mulher é feia,Negativo
Ela é tão feia,Negativo
moça é linda,Positivo
você está crescida,Positivo
Ela é muito importante,Positivo
Ela era igual,Neutro
ela for cheirosa,Positivo
ela for bonita,Positivo
Mulher estou envergonhado,Negativo
moça granfina,Positivo
moça caipira,Negativo
Você ficou estranha,Negativo
ela sozinhos,Neutro
esposa amante,Negativo
mulher fiel,Positivo
Ela tá maluca,Negativo
esposa aperta,Neutro
ela apaz,Neutro
você fica maluca,Negativo
Menina piveta,Negativo
elas ficam molhadinha,Negativo
ela é impossível,Negativo
você tá enganada,Negativo
Ela é surreal,Positivo
você tá palmeada,Negativo
ela fica pelada,Negativo
você tá facinha,Negativo
mulher descobrir tô perdido,Negativo
mulher novinha,Negativo
ELA CHEGAR,Neutro
ela é comportadinha,Positivo
garota patricinha,Negativo
Elas estão descontroladas,Negativo
Ela é cínica,Negativo
ela é carente,Negativo
ela pressente,Positivo
Ela é muito bonita,Positivo
ela é muito feia,Negativo
Ela é muito engraçada,Positivo
mulher imunda,Negativo
você fica manhosa,Positivo
menina chapa-quente,Negativo
Ela é tão branca,Neutro
namorada maluca,Negativo
ela é cadela,Negativo
mulheres presente,Positivo
mulheres safadinhas,Negativo
ela tá bolada,Negativo
Ela chata,Negativo
mulher coroa,Negativo
você tá guardada,Positivo
ela mano,Neutro
você fica calada,Positivo
Ela é negra,Neutro
ela tá nervosa,Negativo
ela é maluca,Negativo
Ela é mais quente,Negativo
MULHER SIRIGAITA,Negativo
Você é tão rebelde,Negativo
elas são tão secas,Negativo
Mulher rendeira,Negativo
namorada libanesa,Neutro
mulher incompleta,Negativo
Ela é muito elegante,Positivo
ela foi fiel,Positivo
Você é muito complicada,Negativo
Você é complicada,Negativo
Você estava certa,Positivo
mulher moderna,Positivo
Você é mais perigosa,Negativo
garota bonita,Positivo
moça pobrezinha,Negativo
ela está feia,Negativo
moça prestes,Neutro
Moça disposta,Positivo
mulher sardenta,Negativo
Você é litorânea,Neutro
você é expansiva,Negativo
Você é contemporânea,Positivo
Você é tão espontânea,Positivo
ela ser tão bom,Positivo
ela ser macio,Neutro
Elas estão comigo,Neutro
ela será bem transformada,Positivo
mulher antiga,Negativo
você somos tão iguais,Neutro
Ela é bamba,Positivo
Ela é carnaval,Neutro
Ela é sensual,Negativo
elas nuas,Negativo
Você vai ficar tesuda,Negativo
Ela é sofisticada,Positivo
ela é delicada,Positivo
Mulher sofisticada,Positivo
você fica mais bonita,Positivo
ela é cruel,Negativo
mulher fruta,Neutro
você somos bem mais fortes,Positivo
Você é imprevisivel,Negativo
Ela é teimosa,Negativo
menina segura,Positivo
Ela tá maravilhosa,Positivo
Ela tá pura,Positivo
Ela tá top,Positivo
ela é iluminada,Positivo
mulher diferente,Neutro
ela é nutella,Negativo
Ela é coberta,Neutro
Ela é aposentada,Neutro
Você fica bem soltinha,Negativo
Ela é internacional,Neutro
ela tá deliciosa,Negativo
você vai ficar carente,Negativo
mulher gata,Positivo
ela tá doidinha,Negativo
Ela tá doidona,Negativo
mulher bonito,Positivo
ela cheio,Neuto
ela tá linda,Positivo
meninas soltinhas,Negativo
ela é descarada,Negativo
você tá tão bonita,Positivo
ela é safadinha,Negativo
Ela é assanhadinha,Negativo
mulher perfeita,Positivo
ela estou sozinho,Neutro
Ela é sensacional,Positivo
ela fica triste,Negativo
mulher que parecia tão bacana,Positivo
menina atraente,Positivo
ela fica esperta,Positivo
Você vai ficar maluca,Negativo
Ela é clichê,Negativo
ela fica mais quente,Negativo
menina gostosa,Negativo
namorada era legal,Positivo
garota popular,Positivo
Ela foi influenciada,Negativo
ela tá livre,Positivo
ela é santa,Positivo
ela vai ficar maluca,Negativo
mulher é louca,Negativo
Maria faceira,Positivo
Menina carente,Negativo
você fica feia,Negativo
Senhoras dona,Neutro
Mulher melhor,Positivo
mulher cigana,Neutro
ela é muito maior,Neutro
Ela é difícil,Negativo
ela é muito sensual,Negativo
Ela é selvagem,Negativo
Ela tá cismada,Negativo
Você tá doidona,Negativo
você era tão linda,Positivo
Ela ta enganada,Negativo
Mulher mercenária,Negativo
Ela estava acompanhada,Neutro
namorada linda,Positivo
ela tá soltinha,Negativo
Ela tá solta igual,Negativo
Você é mó,Positivo
Você fica tão linda,Positivo
Ela negra,Neutro
Menina é gostoso,Negativo
Ela é inacreditável,Positivo
ela era magrinha,Negativo
ela novinha,Negativo
ela fosse igual,Neutro
Ela é inteligente,Positivo
você era nova,Negativo
Você tá cheirosa,Positivo
moça fanática,Negativo
moça formosa,Positivo
você estava louca,Negativo
Mulher perversa,Negativo
mulher disposição,Positivo
ela pode ser fatal,Negativo
Garota bela,Positivo
Menina sapequinha,Negativo
ela é bagaceira,Negativo
Ela é muito bacana,Positivo
mulher sexo,Negativo
Ela é tão cheia,Neutro
você estava distraída,Negativo
rainha defensora,Positivo
rainha sertaneja,Neutro
mulheres sem-vergonhas,Negativo
Ela é vacilona,Negativo
Ela é tão fascinante,Positivo
Ela é amada,Positivo
ela fica perigosa,Negativo
Ela é preta,Neutro
ela preta,Neutro
ela etra,Neutro
você tá acostumada,Positivo
ela é sexy,Negativo
ela é muito gatinha,Positivo
ela é mais gostosa,Negativo
você é maravilhosa,Positivo
garota espetacular,Positivo
você é ciumenta,Negativo
namorada dona,Positivo
Mulheres são malandras,Negativo
mulher qual,Neutro
menina interesseira,Negativo
Ela ficou feliz,Positivo
elas ficam bem doidinha,Negativo
Garota safadinha,Negativo
Ela é longa,Neutro
menina fica louca,Negativo
Ela fica loucona,Negativo
garota melancia,Negativo
Ela é louca,Negativo
Ela é mercenária,Negativo
Ela é maior,Neutro
mulheres sedutoras,Negativo
ela ficou nervosa,Negativo
mulher maçã,Negativo
Mulher cereja,Negativo
ela é zica,Positivo
Você é má,Negativo
Ela é profissional,Positivo
senhora iemanjá,Neutro
MULHER GATO)Eu,Neutro
mulher melão,Negativo
você ta muito aderiva,Negativo
mulher são nacional,Neutro
Você tá divina,Positivo
Você é tão estranha,Negativo
Ela é abusada,Negativo
Ela tá loucona,Negativo
Ela é tão vaidosa,Positivo
Ela é muito atrevida,Negativo
menina indefesa,Negativo
mulher sexy,Negativo
mulher sofredora,Negativo
mulher dragão,Negativo
ela tá cansada,Negativo
menina perigosa,Negativo
você é vacilona,Negativo
mulheres solteiras,Neutro
Elas são braba,Positivo
elas ficou cheia,Neutro
você é safada,Negativo
Você foi olhada,Neutro
moças rezadeiras,Neutro
Você está sempre aflita,Negativo
garota folgazã,Neutro
Ela é médica,Neutro
você foi gerada,Neutro
você foi ensinada,Negativo
Maria babá,Neutro
Menina barata,Negativo
moça dengosa,Positivo
dama infeliz,Negativo
senhoras mineiras,Neutro
esposas sombrias,Negativo
garota certa,Positivo
você ficar chocada,Positivo
Ela vai sorrir contente,Positivo
ela é bem sábia,Positivo
ela é inútil,Negativo
ela é muito especial,Positivo
mulheres são lindas,Positivo
você era única,Positivo
você tivesse tido calma,Negativo
dama cantaria,Neutro
elas foram tão felizes,Positivo
mulheres guerreiras,Positivo
menina biônica,Neutro
Ela fica piradinha,Negativo
ela está transviada,Negativo
Ela é muito louca,Negativo
garota esperta,Positivo
Você é mesmo louca,Negativo
Ela é muito linda,Positivo
Ela é tão interessante,Positivo
Ela é tão diferente,Positivo
elas podem ser boas,Positivo
Ela estava ali sozinha,Negativo
você ficar molhada,Negativo
garota sorrir,Positivo
elas são felizes,Positivo
mulher bacana,Positivo
Ela é resolvida,Positivo
moça temporã,Neutro
elas mesmas,Positivo
Maria graça,Neutro
Você é tão cheia,Neutro
você fique segura,Positivo
mulheres são tão iguais,Negativo
Menina branca,Neutro
Você foi mais feliz,Positivo
moça bela,Positivo
você é boa,Positivo
ela limpa,Neutro
mulher furacão,Negativo
Ela é tão inteligente,Positivo
você vai ser diferente,Neutro
menina má,Negativo
garota virgem,Negativo
Você estava tão meiga,Positivo
ela estava presa,Negativo
garota é maluca,Negativo
garota é lesada,Negativo
esposa japonesa,Neutro
garota toda,Neutro
elas estão tão distantes,Neutro
garotas são iguais,Neutro
Ela foi tão gentil,Positivo
Garotas bonitas,Positivo
garota punk,Negativo
ela era tida,Neutro
garota forte,Positivo
Ela é leve,Neutro
Garotas sinceras,Positivo
Ela estava debruçada,Neutro
ela tá acostumada,Neutro
ela é ignorada,Negativo
Rainha falsa,Negativo
garota especial,Positivo
você era puta,Negativo
você é lésbica,Negativo
Garota excitante,Positivo
Você foi despejada,Negativo
você está despida,Negativo
você foi pura,Positivo
Ela sorridente,Positivo
menina é pura,Positivo
garotas carinhosas,Positivo
menina elegante,Positivo
garota era muito bacana,Positivo
mulher paulista,Neutro
mulher gentil,Positivo
menina é linda,Positivo
ela é covarde,Negativo
mulher perigosa,Negativo
meninas trinca,Neutro
você é cheia,Neutro
senhora é responsável,Positivo
senhora é mercenária,Negativo
ela é tão atraente,Positivo
Ela é muito sincera,Positivo
Ela é metida,Negativo
ela tá carente,Negativo
Você estava mais linda,Positivo
Ela estava tão carente,Negativo
ela está cansada,Negativo
ela seja infiel,Negativo
menina menina,Neutro
menina senhora,Neutro
Mulher motorista,Neutro
mulher charmosa,Positivo
você é menor,Negativo
Ela fica grilada,Negativo
ela ficou louca,Negativo
ela ficou comigo,Positivo
Maria era muito legal,Positivo
ela ficar mais bonita,Positivo
mulher urbana,Neutro
Ela é veterana,Neutro
ela é concubinato,Negativo
Você é paz,Positivo
mulheres judias,Neutro
garota é top,Positivo
Ela ta feliz,Positivo
mulher é meio louca,Negativo
você é conduzida,Neutro
menina frágil,Negativo
ela sou bom,Positivo
Você ficou bonita,Positivo
Garota adolescente,Negativo
Ela é covardia,Negativo
você é atenciosa,Positivo
maria é louca,Negativo
mulher cananéia,Negativo
você estava escrita,Neutro
ela ficar louca,Negativo
Ela é malcriada,Negativo
Ela é estilosa,Positivo
Voce ta desconfiada,Negativo
você tava linda,Positivo
ela foi escolhida,Positivo
ela é divina,Positivo
rainha primeira,Neutro
Mulher preguiçosa,Negativo
moça mimosa,Positivo
moça inteligente,Positivo
Maria segura,Positivo
menina dona,Positivo
ela linda,Positivo
você vai ficar contente,Positivo
você ta doida,Negativo
Você tá magoada,Negativo
mulher burra,Negativo
mulheres inteligentes,Positivo
Ela era gordinha,Negativo
Ela ficou tão feliz,Positivo
ela é particular,Neutro
Você é fogosa,Negativo
Ela estava errada,Negativo
Garota prodígio,Positivo
Menina legal,Positivo
ela é feiticeira,Negativo
Menina lavadeira,Negativo
Moça morena,Neutro
Ela é mãe,Neutro
moça foi bonita,Positivo
dama fuleira,Negativo
ela foi criada,Neutro
moça é zangado,Negativo
senhoras senhores,Negativo
ela foi bem contemplada,Positivo
Ela ficou zangada,Negativo
Menina tanajura,Negativo
você tá nervosa,Negativo
você tá segura,Positivo
Ela é ótima,Positivo
menina cheia,Neutro
você está chateada,Negativo
você está arrasada,Negativo
Garota sexy,Negativo
namorada tá desconfiada,Negativo
Você é namorada,Neutro
Você tá dispersa,Negativo
você foi precipitada,Negativo
Menina criança,Neutro
Menina rara,Positivo
ela fica empolgada,Positivo
ela loucutor,Neutro
ela orgulhosa,Positivo
ela é chata,Negativo
Você tá tão gelada,Negativo
Menina é melhor,Positivo
você é roubada,Negativo
você tá doidinha,Negativo
garota é linda,Positivo
ela está sózinha,Neutro
você seja bem-vinda,Positivo
menina sensual,Negativo
Você é super gracinha,Positivo
ela é tão cheirosa,Positivo
ela é piriguete,Negativo
Menina sou louco,Negativo
ela é estrangeira,Neutro
mulher é bipolar,Negativo
Ela é provocante,Negativo
Ela é fatal,Negativo
você está desconfiada,Negativo
ela tá é afim,Negativo
Ela fica tarada,Negativo
mulher presente,Positivo
Ela tá totalmente sarada,Negativo
Ela é original,Positivo
ela é normal,Positivo
ela tá dahora,Positivo
elas malucona,Negativo
Ela tá querendo heein,Negativo
ela é substituta,Negativo
mulheres ciumentas,Negativo
mulher aflita,Negativo
ela é gelada,Negativo
ela usa é mini,Negativo
Ela é chique,Positivo
ela é notada,Positivo
Ela ta suave,Positivo
Ela ta maior,Neutro
Ela tá insaciável,Negativo
você é só aventureira,Positivo
menina super,Positivo
Menina atrevida,Negativo
garota é poderosa,Positivo
ela é tão maravilhosa,Positivo
ela é interesseira,Negativo
Ela é esperta,Positivo
garota baladeira,Negativo
Ela é sapeca,Negativo
menina é muito linda,Positivo
garota furacão,Negativo
mulher mulher,Neutro
ela foi cagada,Negativo
ela tá chapada,Negativo
ela falcão,Negativo
ela é gata,Positivo
Menina extrovertida,Positivo
você é baixinha,Negativo
ela é vaidosa,Negativo
mulheres ficam louca,Negativo
mulher gambiarra,Negativo
esposa é dedicada,Positivo
ela é danadinha,Negativo
ela tá grávida,Neutro
Ela é espetacular,Positivo
mulher kama,Negativo
Ela tava assanhada,Negativo
mulher profissional,Positivo
ela é sedenta,Negativo
ela é foda,Positivo
mulher barraqueira,Negativo
menina top,Positivo
menina zika(4x,Positivo
menina zika(2x,Positivo
Elas são gostosa,Negativo
ela tá estressada,Negativo
mulher é braba,Negativo
ela ficou apaixonada,Positivo
Garota estou perdido,Negativo
mulheres belas,Positivo
Ela está ficando louca,Negativo
Menina selvagem,Negativo
ela suadinha,Negativo
mulher interesante,Positivo
Ela ta sensacional,Positivo
ela é braba,Negativo
Ela é malvada,Negativo
ela é atrevida,Negativo
mulheres importantes,Positivo
ela é sempre elegante,Positivo
Ela tá rebelde,Negativo
ela parece ser diferente,Neutro
Ela tá sempre chique,Positivo
elas imbica,Neutro
ela é bem gostosa,Negativo
ela for digna,Positivo
ela doente,Negativo
elas carente,Negativo
Menina aventureira,Positivo
Menina interessante,Positivo
ela é muito esperta,Positivo
ela bonita,Positivo
ela can'tá,Neutro
ela é justa,Positivo
namorada viva,Positivo
Você fica séria,Positivo
ela ligeira,Positivo
ela foi encantada,Positivo
mulher negra,Neutro
ela é tão fogosa,Negativo
moça é descuidada,Negativo
moça é distraída,Negativo
Ela é bem mais rica,Positivo
você vai ficar também sozinha,Negativo
ela será difícil,Negativo
mulher valente,Positivo
mulher má,Negativo
menina nua,Negativo
mulheres febris,Negativo
elas são feias,Negativo
ela nua,Negativo
ela seca,Negativo
garota suicida,Negativo
ela especiais,Positivo
meninas louco,Negativo
Você é tão esquisita,Negativo
mulher aranha,Negativo
Mulher surpreendente,Positivo
garota idiota,Negativo
Ela é preto,Neutro
Ela é cult,Neutro
você é bem teimosa,Negativo
você é tão bacana,Positivo
mulher sou dependente,Negativo
Ela é favo,Neutro
ela preto,Neutro
moça boiadeira,Neutro
você fosse tristeza,Negativo
menina é ligeira,Positivo
Ela tá beba doida,Negativo
você ficar gamada,Negativo
você foi tão falsa,Negativo
ela é esposa,Neutro
Mulheres valentes,Positivo
elas são prudentes,Positivo
você foi casada,Neutro
menina é boa,Positivo
dama meiga,Positivo
garota vaidosa,Negativo
Ela é gordinha,Negativo
você está confusa,Negativo
garota é bela,Positivo
Você é poderosa,Positivo
você está escondida,Negativo
Ela é bem diferente,Neutro
Ela fica mais certeira,Positivo
Mulher livre,Positivo
voce é tão louca,Negativo
Maria é bom,Positivo
Ela prefere ser careta,Negativo
mulher interesseira,Negativo
mulher é bandida,Negativo
ela ta desconfiada,Negativo
ELA CHEGA,Neutro
Você é diferente,Neutro
Ela tá prontinha,Negativo
Ela tá quente,Negativo
Ela sabe ser sexy,Negativo
você está mais elegante,Positivo
ela disfarça é tão particular,Positivo
Moça tô meio,Neutro
mulher cheio,Neutro
Ela sabe ser gostosa,Negativo
você ta sóbria,Negativo
Ela é apegada,Negativo
Menina interior,Neutro
ela seja eternamente feliz,Positivo
senhora mãezinha,Neutro
menina pensativa,Neutro
ela estou apaixonado,Positivo
mulher traidora,Negativo
ela diferente,Neutro
dama preferida,Positivo
ela é querida,Positivo
ela é famosa,Positivo
Mulher raparigueira,Negativo
Garota Safada,Negativo
Você ta mais bonita,Positivo
menina interessada,Positivo
Ela é agigantada,Negativo
mulher objeto,Negativo
mulher leviana,Negativo
moça gavião,Neutro
ela nova,Neutro
menina felina,Positivo
menina assanhadinha,Negativo
mulheres ligeiras,Negativo
esposa bonita,Positivo
ela é melhor,Positivo
moças chiques,Positivo
ela era nova,Neutro
moça boba,Negativo
ela é apimentada,Negativo
ela é cobra,Negativo
meninas ficam loucas,Negativo
Ela fica nova,Negativo
Mulher graciosa,Positivo
Menina menininha,Neutro
Moça simpática,Positivo
mulheres levianas,Negativo
Menina prosa,Neutro
Ela fica acordada,Neutro
moças pilúlas,Neutro
ela é punk,Negativo
Mulher que fica tonta,Negativo
ela é convertida,Neutro
mulheres sorridentes,Positivo
dama negra,Neutro
Ela fica contente,Positivo
ela é chic,Positivo
Ela é boazinha,Positivo
ela ser sozinha,Neutro
você estava amarrada,Negativo
Ela é magnética,Positivo
ela será eternamente gloriosa,Positivo
Ela é falsa,Negativo
ela vai bonitinho,Positivo
Mulher dengosa,Negativo
moça ficava apaixonada,Positivo
Você fica muito mais bonita,Positivo
meninas dançadeiras,Positivo
Menina lindo,Positivo
menina tá apaixonada,Positivo
mulher dama,Positivo
Ela é cheirosinha,Positivo
mulher for boa,Positivo
menina bunita,Positivo
mulher doida,Negativo
Ela era arrochadinha,Negativo
Ela era apertada,Negativo
mulher tá lotado,Negativo
elas estão bebendo igual,Negativo
meninas gingam,Neutro
mulher bonitinha,Positivo
Ela é mais enrolada,Negativo
mulher é pura,Positivo
ela é craque,Positivo
Você está aborrecida,Negativo
você tá bolada,Negativo
mulher gordinha,Negativo
mulher ta cheia,Neutro
mulher esporreta,Positivo
menina bosal,Negativo
Ela é saliente,Negativo
Ela é atraente,Negativo
você sou pura,Negativo
namorada é linda,Positivo
você é muito mais bonita,Positivo
Você tá desconfiada,Negativo
você fica insegura,Negativo
ela é tão perfeita,Positivo
você está errada,Negativo
Ela é tão vistosa,Positivo
mulher linda,Positivo
mulher baixa,Negativo
mulher virgem,Negativo
Ela é descolada,Positivo
ela sambar,Neutro
menina ligeira,Positivo
Ela é engraçada,Positivo
ela tá atualizada,Positivo
ELA É PASSAGEIRA,Neutro
você ficar quietinha,Positivo
rainha dona,Positivo
Mulheres elegantes,Positivo
você estava tão fria,Negativo
menina poderosa,Positivo
ela é calma,Positivo
ela é complicada,Negativo
Mulheres diferentes,Neutro
mulher quietinha,Negativo
mulher cachorra,Negativo
ela tá facinho,Negativo
você ficou gamada,Negativo
ela bebe ela fica maluca,Negativo
ela fica maluca,Negativo
dama exclusiva,Negativo
mulheres caôzeiras,Negativo
Você tá recalcada,Negativo
Elas fica louca,Negativo
Ela é alegre,Positivo
Mulher interessante,Positivo
ela foi desenhada,Positivo
Garota interessante,Positivo
ela tá bom,Positivo
ela desce é igual,Neutro
menina chavio,Neutro
menina é tenebrosa,Negativo
mulher ecko,Neutro
mulheres ficam loucas,Negativo
você ta destruida,Negativo
elas louca,Negativo
ela tá envolvida,Positivo
Ela está envolvida,Positivo
Maria hein,Neutro
mulher é carioca,Neutro
mulher ele fica todo azul,Neutro
mulher é sensacional,Positivo
ela gostosa,Negativo
Ela tá chateada,Negativo
Ela é neurótica,Negativo
Ela é romântica,Positivo
Ela é galática,Negativo
ela fica quietinha,Negativo
ela se torna pequena,Negativo
ela é ambiciosa,Negativo
mulher experiente,Positivo
Ela fica impressionada,Positivo
ela é conhecida,Positivo
Ela fica mais linda,Positivo
menina sacana,Negativo
Ela é tranquila,Positivo
meninas dançarinas,Neutro
menina preta,Neutro
Você é tão boa,Positivo
Ela loura,Neutro
moça nua,Negativo
menina loira,Neutro
Ela é t'tudo,Positivo
mulher potente,Positivo
Ela é modal,Positivo
Ela é muito cidadã,Neutro
Ela é superelegante,Positivo
moças nuas,Negativo
donzela mulher,Neutro
ela é juncada,Negativo
Mulher indigesta,Negativo
Ela é tão jovem,Positivo
Ela é decidida,Positivo
Ela é bem liberal,Positivo
Ela é bem legal,Positivo
Ela quer ser espontânea,Positivo
ela está presa,Negativo
Ela é segura,Positivo
menina era mineira,Neutro
Ela é simpática,Positivo
Ela é melancólica,Negativo
você fica pensativa,Positivo
Ela é doidinha,Negativo
moças lindas,Positivo
Menina insana,Negativo
maria orgulhosa,Negativo
moças solteiras,Neutro
mulheres mascaradas,Neutro
mulher é livre,Positivo
mulher é deusa,Positivo
Maria é poesia,Positivo
garota engraçada,Positivo
Menina esperta,Positivo
ela é suspense,Negativo
ela é insana,Negativo
ela parecia tão nova,Negativo
Elas estão prontas,Positivo
garota simples,Positivo
menina mandona,Negativo
ela fica mais feliz,Positivo
Mulher transgênica,Neutro
ela ficou fantástica,Positivo
Ela é transgênica,Neutro
ela ferio,Neutro
ela pros,Neutro
ela tá distante,Neutro
ELA É DOMÉSTICA,Neutro
Maria linda,Positivo
você tava sussegada,Positivo
ela jovem,Neutro
mulher infeliz,Negativo
Você tá cheia,Neutro
Mulher que fica comigo,Neutro
você foi amada,Positivo
Ela fica bem louca,Negativo
mulher sou latino,Neutro
mulher pecadora,Negativo
mulher amiga,Positivo
Ela tá noutra,Negativo
ela ta linda,Positivo
Ela é princesa,Positivo
Ela é diferentona,Positivo
Ela estranha,Negativo
Ela era engraçadinha,Positivo
Garota bandida,Negativo
Ela fica satisfeita,Positivo
mulher treiteira,Negativo
mulher bonequeira,Positivo
mulher galinha,Negativo
você encosta eu fico louca,Negativo
mulher doente,Negativo
mulher traída é pior,Negativo
Você é psicopata,Negativo
ela era tão veloz,Positivo
Moça bailarina,Positivo
mulher rapaz,Neutro
ela ficou bem doida,Negativo
mulher exemplar,Positivo
Elas estão fascinadas,Positivo
você ficar esperta,Negativo
Você tá doida,Negativo
mulher pequena,Neutro
mulher é pequena,Neutro
ela nao é grande,Neutro
Ela é magrela,Negativo
mulher moça,Neutro
ela imbica,Neutro
Mulher era assim muito sensata,Positivo
mulher bagunceira,Negativo
Mulher cangaceira,Neutro
mulher era adivinhona,Positivo
moça vivias,Neutro
Ela é muito pesada,Negativo
Ela é jeitosa,Positivo
Ela é vovó,Neutro
Menina preguiçosa,Negativo
moça estava tremula,Negativo
Maria igual,Neutro
Moça faceira,Positivo
Ela é bangula,Negativo
mulher doideira,Negativo
mulheres santas,Positivo
garota estava lisa,Negativo
Você está mais forte,Positivo
mulher mundana,Negativo
rainha fiel,Positivo
mulher saliente,Negativo
você é pobrezinha,Negativo
Menina estou pirado,Negativo
ela gagueja,Negativo
moça educada,Positivo
mulher que fica doida,Negativo
senhora vai ser feliz,Positivo
você tá mudada,Positivo
Mulher boba,Negativo
Moça velha,Neutro
moças velhas,Neutro
ela tá feliz,Positivo
ela é robe,Positivo
Você foi bandida,Negativo
voce ficou arrependida,Negativo
Maria coitadinha,Negativo
menina beijoqueira,Negativo
meninas treme-treme,Negativo
ela vai ficar comtigo,Neutro
Menina quage,Negativo
Ela tá contente,Positivo
Ela tá rindo atoa,Positivo
menina prostituta,Negativo
Ela é tão grande,Neutro
ela tá meio,Neutro
garota close,Neutro
ela era maioral,Positivo
você é julgamente injusta,Negativo
mulher formosa,Positivo
mulher bandeirante,Neutro
moça criança,Neutro
ela é bahiana,Neutro
menina confusa,Negativo
menina sorri,Positivo
elas naturais,Neutro
mulher seja fingida,Negativo
Menina tostadinha,Negativo
garota colossal,Positivo
Mulher primeira,Neutro
Mulher dona,Positivo
mulher é tão sagrado,Positivo
você tá louco,Negativo
Você é muito inteligente,Positivo
homem fica amargo,Negativo
você está saciado,Positivo
Ele é molhado,Neutro
Ele é fedido,Negativo
ele tá deprimido,Negativo
ele desempregado,Negativo
você está bom,Positivo
você fica mais feliz,Positivo
você seja muito feliz,Positivo
João gordo,Negativo
Você é zen,Positivo
ele ficou esperto,Positivo
você vai ficar duro,Neutro
homem certo,Positivo
eles preto,Negativo
você está aqui livre,Positivo
Você está confuso,Negativo
garotos loucos,Positivo
Rapaz inteligente,Positivo
você é doidão,Negativo
Ele é natural,Positivo
você fica parado,Neutro
Ele está sozinho,Negativo
Ele é doido,Negativo
Você está preso,Negativo
reis capazes,Neutro
Ele está aqui sozinho,Neutro
ele estava triste,Negativo
Você parece especial,Positivo
Você parece jovem,Positivo
homem melhor,Positivo
Ele é fantástico,Positivo
Você está sozinho,Negativo
garoto sozinho,Negativo
homem perfeito,Positivo
Ele era perfeito,Positivo
ele é pálido,Negativo
homem quer ser feliz,Positivo
homens são iguais,Negativo
Você estava tão distante,Negativo
Você ficou tão distante,Negativo
rapaz honesto,Positivo
homem casado,Neutro
você está cansado,Negativo
Você parece doente,Negativo
Eles são tão iguais,Neutro
Você tá certo,Positivo
senhores senhores,Positivo
namorado árabe,Neutro
homem sadio,Positivo
você é mau,Negativo
Ele foi feliz,Positivo
rapaz pobre,Negativo
Você vai ser mais feliz,Positivo
homem hipócrita,Negativo
você estava triste,Negativo
Ele é tão animal,Negativo
eles afim,Neutro
João bobo,Negativo
homem preto,Neutro
ele foi marginal,Negativo
você esteja livre,Positivo
ele contigo,Neutro
você tá comigo,Neutro
você está muito enganado,Neutro
ele é tão perfeito,Positivo
rapaz solteiro,Neutro
homem paralítico,Negativo
Ele foi fiel,Positivo
você fica pobre,Negativo
homem velho,Negativo
ele seguro,Positivo
Ele é maravilhoso,Positivo
menino novo,Positivo
homem natural,Positivo
você estiver indeciso,Negativo
você estiver confuso,Negativo
Ele é fiel,Positivo
ele é santo,Positivo
rei eterno,Neutro
Senhor estava pronto,Neutro
Ele está comigo,Neutro
Eles estão parados,Neutro
eles mesmos,Neutro
você ficasse nu,Neutro
você foi tão fácil,Positivo
Você me pareceu tão distante,Negativo
você é real,Positivo
ele é eterno,Neutro
ele é possessivo,Negativo
ele é emotivo,Negativo
ele é tão bom,Positivo
homem cego,Neutro
Ele é tão chato,Negativo
você foi tão legal,Positivo
Ele é bom,Positivo
Ele ficou agressivo,Negativo
você tá fadado,Negativo
você vou ser feliz,Positivo
Você é muito esperto,Positivo
você ficar sozinho,Neutro
você vai estar comigo,Neutro
você fica ligado,Negativo
homem triste,Negativo
você é tão simples,Negativo
namorado pop-star,Positivo
Eles pitimbam,Neutro
homem mau,Negativo
Ele ficou indignado,Negativo
ele ponga,Neutro
homem galante,Positivo
senhor é incapacitado,Negativo
você é capaz,Positivo
você ser feliz,Positivo
Você está ligado,Neutro
você está distante,Neutro
Ele é livre,Positivo
Você é tão inalcansável,Negativo
Você é inalcansável,Negativo
você era azul,Neutro
você for real,Neutro
homem santo,Positivo
Ele é lindão,Positivo
Ele é todinho,Neutro
ele é mudo,Neutro
ele foi covarde,Negativo
Ele é digno,Positivo
Ele é exaltado,Positivo
Senhor é bom,Positivo
Menino impossível,Negativo
Você será capaz,Positivo
ele estava inteiro,Neutro
você está comigo,Neutro
você tô ligado,Neutro
menino cantador,Positivo
ele é sincera,Positivo
homem fica feio,Negativo
esposo sincero,Positivo
homem inocente,Negativo
eles sejam embalado,Neutro
rei majestoso,Positivo
homem barbudo,Neutro
você seja feliz,Positivo
ele é maldoso,Negativo
você é feliz,Positivo
Ele cheio,Positivo
você era forte,Positivo
você estou abandonado,Negativo
homem bom,Positivo
Ele é perigoso,Negativo
Menino pobre,Negativo
homem é feito,Neutro
senhor mesmo,Positivo
ele sozinho,Neutro
rei soberano,Positivo
rei tirano,Negativo
homem ruim,Negativo
rei maldito,Negativo
você foi capaz,Positivo
Você é igual,Positivo
homem livre,Positivo
você é cego,Negativo
homens maus,Negativo
ele é indurável,Negativo
você está fraco,Negativo
você é perfeito,Positivo
garoto introvertido,Negativo
garoto pobre,Negativo
você eu fico louco,Negativo
ele é grande,Positivo
ele é forte,Positivo
ele é onipotente,Positivo
Ele é tão bonito,Positivo
Você tá fudido,Negativo
Menino doido,Negativo
você é malvadinho,Negativo
Você estava era drogado,Negativo
homem direito,Positivo
você está afim,Neutro
ele pobres,Negativo
Homens cegos,Negativo
você ta cansado,Negativo
